country,year,positive,examined,long,lat,utm_x,utm_y
Malawi,2018,0,30,33.9902145,-11.4252442,608.0218106231226,8736.81553325385
Malawi,2018,0,30,35.2954892,-15.8751614,745.8062102559734,8243.526058850131
Malawi,2018,0,30,35.2011984,-14.8455053,736.8652847132943,8357.595510439296
Malawi,2018,1,30,35.0410056,-15.8551462,718.5666214399,8246.023541130571
Malawi,2018,2,29,33.87631,-13.852184,594.6968641607018,8468.447920774688
Malawi,2018,1,30,35.1877208,-15.002469,735.2434655560152,8340.237933068644
Malawi,2018,0,30,34.58995182,-15.45822562,670.5811627183202,8290.360237111125
Malawi,2018,0,29,33.9815904,-11.4706444,607.0638539355056,8731.797985456697
Malawi,2018,3,30,35.2619326,-15.8425706,742.2502200010271,8247.172561759464
Malawi,2018,0,28,35.2206775,-15.6758393,738.0242947321096,8265.674161908966
Malawi,2018,2,30,35.2437656,-15.6989736,740.472957727832,8263.08748562566
Malawi,2018,0,30,34.6104465,-15.4365421,672.7984391281373,8292.743068641637
Malawi,2018,0,30,35.0327829,-15.0240204,718.5548882692574,8338.01191575952
Malawi,2018,0,30,33.88961,-14.0330119,596.0593754422098,8448.441897986337
Malawi,2018,0,30,35.0230967,-15.5498315,716.97115004043,8279.831520508083
Malawi,2018,1,30,35.168283,-15.7998989,732.2650231128644,8252.001442001472
Malawi,2018,0,30,35.1685482,-15.8007937,732.2924216679339,8251.90211222719
Malawi,2018,1,30,33.7072896,-14.0051034,576.3807928178924,8451.595185190454
Malawi,2018,0,30,35.0039306,-15.695664,714.7628405121122,8263.711786051395
Malawi,2018,0,25,33.802358,-14.0228446,586.6412149427356,8449.60018727984
Malawi,2018,0,29,34.5519731,-14.6489962,667.1356983424597,8379.923430288969
Malawi,2018,0,30,34.7649834,-15.4413329,689.3799975057808,8292.082868687588
Malawi,2018,0,30,34.7781663,-15.4119954,690.8217019555694,8295.31754851721
Malawi,2018,0,30,33.9860865,-11.3896378,607.5848536542846,8740.754736644318
